id,statcode,statnaam,jrstatcode,rubriek,id_2,LEVL_CODE,NUTS_ID,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,freq,sex,unit,age,geo\TIME_PERIOD,2014,2015,2016,2017,2018,2019
cbs_gemeente_2020_labelpoint.80,GM0275,Rheden,2020GM0275,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.81,GM0277,Rozendaal,2020GM0277,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.82,GM0279,Scherpenzeel,2020GM0279,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.83,GM0281,Tiel,2020GM0281,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.84,GM0285,Voorst,2020GM0285,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.85,GM0289,Wageningen,2020GM0289,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.86,GM0293,Westervoort,2020GM0293,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.87,GM0294,Winterswijk,2020GM0294,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.88,GM0296,Wijchen,2020GM0296,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.89,GM0297,Zaltbommel,2020GM0297,gemeente,NL224,"3",NL224,NL,Zuidwest-Gelderland,Zuidwest-Gelderland,"4","2","3",NL224,A,T,NR,TOTAL,NL224,"237076 ","237548 ","238305 ","239890 ","241244 ","244052 "
cbs_gemeente_2020_labelpoint.90,GM0299,Zevenaar,2020GM0299,gemeente,NL226,"3",NL226,NL,Arnhem/Nijmegen,Arnhem/Nijmegen,"4","1","3",NL226,A,T,NR,TOTAL,NL226,"718842 ","722312 ","725759 ","730428 ","735203 ","738436 "
cbs_gemeente_2020_labelpoint.91,GM0301,Zutphen,2020GM0301,gemeente,NL225,"3",NL225,NL,Achterhoek,Achterhoek,"4","2","3",NL225,A,T,NR,TOTAL,NL225,"399707 ","398772 ","399260 ","399921 ","400416 ","400685 "
cbs_gemeente_2020_labelpoint.92,GM0302,Nunspeet,2020GM0302,gemeente,NL221,"3",NL221,NL,Veluwe,Veluwe,"4","1","3",NL221,A,T,NR,TOTAL,NL221,"664067 ","667946 ","672027 ","677662 ","683240 ","688799 "
cbs_gemeente_2020_labelpoint.93,GM0303,Dronten,2020GM0303,gemeente,NL230,"3",NL230,NL,Flevoland,Flevoland,"4","1","2",NL230,A,T,NR,TOTAL,NL230,"399893 ","401791 ","404068 ","407818 ","411670 ","416546 "
cbs_gemeente_2020_labelpoint.94,GM0307,Amersfoort,2020GM0307,gemeente,NL310,"3",NL310,NL,Utrecht,Utrecht,"4","1","3",NL310,A,T,NR,TOTAL,NL310,"1253672 ","1263572 ","1273613 ","1284504 ","1295484 ","1306912 "
cbs_gemeente_2020_labelpoint.95,GM0308,Baarn,2020GM0308,gemeente,NL310,"3",NL310,NL,Utrecht,Utrecht,"4","1","3",NL310,A,T,NR,TOTAL,NL310,"1253672 ","1263572 ","1273613 ","1284504 ","1295484 ","1306912 "
cbs_gemeente_2020_labelpoint.96,GM0310,De Bilt,2020GM0310,gemeente,NL310,"3",NL310,NL,Utrecht,Utrecht,"4","1","3",NL310,A,T,NR,TOTAL,NL310,"1253672 ","1263572 ","1273613 ","1284504 ","1295484 ","1306912 "
cbs_gemeente_2020_labelpoint.97,GM0312,Bunnik,2020GM0312,gemeente,NL310,"3",NL310,NL,Utrecht,Utrecht,"4","1","3",NL310,A,T,NR,TOTAL,NL310,"1253672 ","1263572 ","1273613 ","1284504 ","1295484 ","1306912 "
